review_text,rating,review_date,thumbs_up_count,app_version
widget update is forced on you but doesn't work unless app is open. ie you cant use the widget to use the app. Previous widget could be used to start the app. The new one is unstable and not fit as a widget.,3,2026-06-30 13:02:38,94,9.1.60.1970
despite having over 1 thousand songs on my playlist the same songs come on lots during shuffle. how is this possible?,2,2026-06-30 13:00:24,0,
too much ads,1,2026-06-30 12:58:16,0,9.1.44.2120
Spotify is a good way to listen to music I like using Spotify every chance I get,5,2026-06-30 12:57:43,0,9.1.60.1970
The Best,5,2026-06-30 12:56:58,0,9.1.60.1970
"perfect music app if you buy premium, it's totally worth it 😉",5,2026-06-30 12:56:26,0,9.1.60.1970
worst music app ever 🤮,1,2026-06-30 12:55:13,0,9.1.60.1970
"its the best 👌, lm absolutely enjoying it",5,2026-06-30 12:55:12,0,9.1.60.1970
fake app,1,2026-06-30 12:54:40,0,
very good music app,5,2026-06-30 12:52:02,0,9.1.58.1567
"very good musics, mostly all types, but too much ads !!!",5,2026-06-30 12:49:57,0,9.1.56.574
Very worst experience if you want to play song 1st you than you songs,1,2026-06-30 12:48:12,0,9.1.60.1970
it's a good app but the ui's could use some work,4,2026-06-30 12:47:44,0,9.1.60.1970
very nice,5,2026-06-30 12:45:58,0,9.1.52.1394
worst app i used when I want to listen my fav. and like song the stop and ads are common in between song and they irritate me and just say go to the premium,1,2026-06-30 12:45:27,0,
very nice sound quality especially in premium,5,2026-06-30 12:45:07,0,9.1.60.1970
i love listening to episodes on it and it keeps me calm,5,2026-06-30 12:40:50,0,9.1.52.1394
love my dragon horde of homemade playlists. it's like a photo album but music.,5,2026-06-30 12:36:55,0,9.1.60.1970
"The ads are getting super annoying .I mean ,ad 1/3?! Forced to go premium I guess .",4,2026-06-30 12:36:24,0,
poor,1,2026-06-30 12:35:54,0,9.1.52.1394
I like Spotify but in the last few months the app is struggling to load when I try to open it. Then i have to uninstall and re install it.It works for a few hours then the same happens again. Extremely frustrating.,2,2026-06-30 12:31:22,0,9.1.60.1962
perfect,5,2026-06-30 12:29:43,0,9.1.52.1394
Nice 🙂,5,2026-06-30 12:29:06,0,9.1.60.1970
"so many adds, and half of the functions are premium",1,2026-06-30 12:27:29,0,9.1.42.2058
pinkiDeykarmakar,5,2026-06-30 12:27:07,0,9.1.60.1970
"so many adds (to an extend that after every 2 songs there are adds 3 of them to be precise), half of the functions are premium, this platform is just not usable without premium",2,2026-06-30 12:25:52,0,9.1.60.1970
so great 👍,5,2026-06-30 12:25:43,0,9.1.60.1970
superb quality of sound,5,2026-06-30 12:24:28,0,9.1.60.1970
"Плюсы: удобное приложение, бесплатная подписка аж на 3 месяца, отличные подборки музыки без 1000 и 1 ссаного ремикса Минусы: После него вк постоянно спамит своей вк музыкой и засрал ТикТок своей рекламой",1,2026-06-30 12:23:03,0,9.1.50.1906
works snd help is quick,5,2026-06-30 12:17:47,1,9.1.60.1970
