review,rating,date,source,url
Imagine working for spotify's marketing team and thinking you're on the right side of history,,2025-12-13T21:07:04Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzXMd-GmtEov0ddXON4AaABAg
"BTS, DPR IAN, DPR ARTIC, DPR CREAM, DABIN, JACKSON WANG",,2025-12-04T14:14:13Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzTNVfJEikxryLB-WN4AaABAg
"pay the artists better, and pay the intern that created ts, u would be nothing without that",,2025-12-04T20:11:20Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwITnXbS7U8eo3Fs2d4AaABAg
Age is just a number 😊,,2025-12-06T13:18:48Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyVl_Za1xksn9qRmSd4AaABAg
Sup iam Winterton Million Hi❤😢😢😢😮,,2025-12-12T13:38:49Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwzsPM8TmqnRI8UC4F4AaABAg
Brooos i think that im Will go to the united states to live brrooooooo im very exciteed i think that we goo to chicaaagooooo brooooooo❤❤❤,,2026-01-25T14:19:07Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugz_1GgHPS8u7XlPrTx4AaABAg
"Yoo nemzzz broski turnt on that wrapped spotify official, nemzzz finally on another level up",,2025-12-05T17:58:29Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugy5a94iLUD1iofexV54AaABAg
"Spotify, please notice this My Spotify wrapped got mixed up with my father(who was using my phone 2 listen 2 Muzik) and this is what it said Artists I listened the most(according to my wrapped): 1. Eminem 2. Jorge & Mateus 3. Henrique & Juliano 4. Atitude 67 5. Kendrick Lamar Songs I listened to the most(according to my wrapped): 1. UP! - Forrest Frank, Connor Price 2. Hard Knock Life - JAY-Z 3. MILLION DOLLAR BABY - Tommy Richman 4. Take Me to Church - Hozier 5. Lovin On Me - Jack Harlow",,2025-12-05T22:46:55Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzCgCowKK8g3dXEblB4AaABAg
WHERE TF IS BILLIE😑?!!,,2025-12-12T19:09:30Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxB7bJH6lZ9MQuRa7h4AaABAg
"Can't believe LOUIS THEROUX was one of this year's top artists. Well, I suppose his money don't jiggle jiggle, it folds",,2025-12-03T19:52:59Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxTth2dx0Ih_Yn077J4AaABAg
beabadoobee next year i promise,,2025-12-25T04:20:38Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwhagW_JpAgDMtRmVB4AaABAg
WHY ISNT THERE ANY K-POP GROUP😭🙏🏼,,2025-12-07T19:46:41Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwtxLpIMsDiauYK8oZ4AaABAg
"when pinkpantheress said ""hi im pink"" i thought that was p!nk for a second 😕",,2025-12-04T01:42:16Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxDAZLd9qpVi3wfWCZ4AaABAg
"No eminem here, even tho is one of the biggest",,2025-12-05T10:56:15Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugw9A559VpFe6cSJ8hl4AaABAg
YEAT ALL THE WAYZ ❤️‍🩹❤️‍🩹❤️‍🩹,,2025-12-04T15:07:15Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgyyP8Umn6Y_cacG7t54AaABAg
This was actually amazing it was even made better with BUS AUNTIE🥹✨,,2025-12-13T00:48:25Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwvCuhvjvlevxp0O0x4AaABAg
